Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0,0.05,0.63
Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.06,0,0.02,0.26
Angry Birds Trilogy,PS3,2012,Action,Activision,0.12,0.02,0,0.02,0.16
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.1
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,2012,Action,5pb,0,0,0.02,0,0.02
Ao no Exorcist: Genkoku no Labyrinth,PSP,2012,Action,Namco Bandai Games,0,0,0.04,0,0.04
Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,0.11
Arabians Lost: The Engagement on Desert,PSP,2012,Adventure,Quinrose,0,0,0.01,0,0.01
Arcana Famiglia: Vascello Phantasma no Majutsushi,PSP,2012,Action,Comfort,0,0,0.02,0,0.02
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39
Armored Core V,X360,2012,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.21
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.03,0.21,0.02,0.46
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.31
Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0,0.13,0.94
Assassin's Creed III,WiiU,2012,Action,Ubisoft,0.19,0.13,0,0.03,0.35
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47
Asura's Wrath,PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.41
Asura's Wrath,X360,2012,Action,Capcom,0.15,0.06,0.01,0.02,0.24
Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26
Atelier Totori: The Adventurer of Arland,PSV,2012,Role-Playing,Gust,0,0,0.09,0,0.09
Azada,3DS,2012,Puzzle,Licensed 4U,0,0.02,0,0,0.02
Bakemonogatari Portable,PSP,2012,Action,Namco Bandai Games,0,0,0.05,0,0.05
Balloon Pop 2,3DS,2012,Puzzle,UFO Interactive,0.01,0,0,0,0.01
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.18,0,0.03,0.38
Ben 10 Galactic Racing,PSV,2012,Racing,D3Publisher,0.02,0.02,0,0.01,0.05
Binary Domain,PS3,2012,Action,Sega,0.09,0.08,0.14,0.03,0.34
Binary Domain,X360,2012,Action,Sega,0.09,0.07,0.02,0.02,0.2
Birds of Steel,PS3,2012,Simulation,Konami Digital Entertainment,0.1,0.09,0.02,0.04,0.25
Birds of Steel,X360,2012,Simulation,Konami Digital Entertainment,0.11,0.04,0,0.01,0.16
Blades of Time,X360,2012,Action,Konami Digital Entertainment,0.07,0.03,0,0.01,0.11
Blades of Time,PS3,2012,Action,Konami Digital Entertainment,0.04,0.03,0.01,0.01,0.09
Blazblue: Continuum Shift Extend,PSP,2012,Fighting,Arc System Works,0,0,0.01,0,0.01
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0.13,0.4,0,0.16,0.69
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.08
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.11,0.94
Botanicula,PC,2012,Adventure,Daedalic Entertainment,0,0.02,0,0,0.02
Brain Age: Concentration Training,3DS,2012,Puzzle,Nintendo,0.09,0,0,0.01,0.1
Brave: The Video Game,Wii,2012,Action,Disney Interactive Studios,0,0.02,0,0,0.02
Brave: The Video Game,DS,2012,Action,Disney Interactive Studios,0,0.02,0,0,0.02
Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38
Brothers Conflict: Passion Pink,PSP,2012,Action,Idea Factory,0,0,0.03,0,0.03
Brothers in Arms: Furious 4,PS3,2012,Shooter,Ubisoft,0.01,0.05,0,0.02,0.08
Bunmei Kaika: Aoiza Ibunroku Saien,PSP,2012,Action,FuRyu,0,0,0.01,0,0.01
Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,0.8,0.52,0.07,0.3,1.69
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.04
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.74
Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.63,0.69,0,0.21,1.53
Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.21,0.18,0,0.03,0.42
Capcom Digital Collection,X360,2012,Action,Capcom,0.02,0.01,0,0,0.03
Captain Morgane and the Golden Turtle,DS,2012,Adventure,Reef Entertainment,0,0.03,0,0,0.03
Captain Morgane and the Golden Turtle,PS3,2012,Adventure,Reef Entertainment,0,0.02,0,0.01,0.03
Captain Morgane and the Golden Turtle,PC,2012,Adventure,Reef Entertainment,0,0.02,0,0,0.02
Captain Morgane and the Golden Turtle,Wii,2012,Adventure,Reef Entertainment,0,0.01,0,0,0.01
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,2012,Action,Namco Bandai Games,0,0,0.07,0,0.07
Choujikuu Yousai Macross: Do You Remember Love,PS3,2012,Shooter,Namco Bandai Games,0,0,0.05,0,0.05
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,2012,Adventure,Gust,0,0,0.1,0,0.1
Code of Princess,3DS,2012,Action,Agatsuma Entertainment,0.16,0,0.03,0.01,0.2
Conception: Please Give Birth to My Child!,PSP,2012,Role-Playing,Spike,0,0,0.08,0,0.08
Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,0.16,0,0,0.01,0.17
Crush3D,3DS,2012,Platform,Sega,0.07,0.04,0,0.01,0.12
Culdcept,3DS,2012,Misc,Nintendo,0,0,0.16,0,0.16
Curse of the Amsterdam Diamond,DS,2012,Puzzle,Easy Interactive,0,0.01,0,0,0.01
Custom Drive,PSP,2012,Action,D3Publisher,0,0,0.02,0,0.02
Dai-2-Ji Super Robot Taisen OG,PS3,2012,Strategy,Namco Bandai Games,0,0,0.3,0,0.3
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,0,0,0.36,0,0.36
Damage Inc.: Pacific Squadron WWII,X360,2012,Simulation,Mad Catz,0.07,0,0,0.01,0.08
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.2,0,0.06,0.83
Danganronpa 2: Goodbye Despair,PSP,2012,Misc,Spike,0,0,0.19,0,0.19
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,2012,Action,Namco Bandai Games,0,0,0.08,0,0.08
Dark Souls,PC,2012,Role-Playing,Namco Bandai Games,0,0.06,0,0.01,0.07
Dark Tales: Edgar Allan Poe's The Premature Burial,PC,2012,Puzzle,Focus Multimedia,0,0.02,0,0,0.02
Darksiders II,PS3,2012,Action,THQ,0.35,0.37,0.01,0.14,0.87
Darksiders II,X360,2012,Action,THQ,0.45,0.28,0,0.07,0.8
Darksiders II,WiiU,2012,Action,THQ,0.07,0.07,0,0.01,0.15
Darksiders II,PC,2012,Action,Nordic Games,0.03,0.1,0,0.03,0.16
Dead or Alive 5,PS3,2012,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65
Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.02,0.32
Deadliest Warrior: Ancient Combat,X360,2012,Fighting,Cloud Imperium Games Corporation,0.04,0,0,0,0.04
Deadliest Warrior: Ancient Combat,PS3,2012,Fighting,Cloud Imperium Games Corporation,0.04,0,0,0,0.04
Deer Drive: Legends,3DS,2012,Action,Maximum Family Games,0.03,0,0,0,0.03
Deponia,PC,2012,Adventure,Daedalic,0,0.13,0,0.03,0.16
Detective Conan: Prelude from the Past,DS,2012,Action,Namco Bandai Games,0,0,0.05,0,0.05
Detective Conan: Prelude from the Past,PSP,2012,Action,Namco Bandai Games,0,0,0.04,0,0.04
Detective Jinguuji Saburo: Ronde Revenge,3DS,2012,Action,Arc System Works,0,0,0.02,0,0.02
Detective Opera: Milky Holmes 2,PSP,2012,Adventure,BushiRoad,0,0,0.03,0,0.03
Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.21,0.11,0.1,0.84
Devil May Cry HD Collection,X360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.43
Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
Diabolik Lovers,PSP,2012,Adventure,Idea Factory,0,0,0.05,0,0.05
Dies Irae: Amantes Amentes,PSP,2012,Action,Views,0,0,0.02,0,0.02
Digimon World Re:Digitize,PSP,2012,Action,Namco Bandai Games,0,0,0.22,0,0.22
DiRT Showdown,X360,2012,Racing,Codemasters,0.08,0.14,0,0.02,0.24
DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0.13,0,0.04,0.19
Dishonored,X360,2012,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0,0.06,0.51
DJ Max Technika Tune,PSV,2012,Misc,CyberFront,0,0,0.01,0,0.01
Dokuro,PSV,2012,Action,GungHo,0,0,0.01,0,0.01
Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.22,0,0.1,0.58
Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.28,0.17,0,0.04,0.49
Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,0,0.02,0,0.01,0.03
Doraemon: Nobita and the Island of Miracles,3DS,2012,Action,FuRyu,0,0,0.08,0,0.08
Dragon Ball Z for Kinect,X360,2012,Fighting,Namco Bandai Games,0.01,0,0,0,0.01
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96
Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96
Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78
Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.42,0.24,0.07,0.06,0.79
Dream C Club,PS3,2012,Simulation,D3Publisher,0,0,0.02,0,0.02
Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.09,0.1,0,0.04,0.23
Dynasty Warriors 7: Empires,PS3,2012,Action,Ubisoft Annecy,0,0,0.14,0,0.14
Dynasty Warriors Vs,3DS,2012,Action,Ackkstudios,0,0,0.06,0,0.06
E.X. Troopers,3DS,2012,Shooter,Capcom,0,0,0.07,0,0.07
E.X. Troopers,PS3,2012,Shooter,Capcom,0,0,0.05,0,0.05
Earth Defense Force 2017 Portable,PSV,2012,Action,D3Publisher,0,0,0.06,0,0.06
Elkrone no Atelier: Dear for Otomate,PSP,2012,Action,Idea Factory,0,0,0.02,0,0.02
Elminage Gothic: Ulm Zakir to Yami no Gishiki,PSP,2012,Role-Playing,Starfish,0,0,0.02,0,0.02
End of Nations,PC,2012,Strategy,Trion Worlds,0.01,0,0,0,0.01
Entaku no Seito: The Eternal Legend,PSP,2012,Role-Playing,Kadokawa Games,0,0,0.02,0,0.02
Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.72,0.23,0,0.08,1.03
Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.32,0.17,0,0.04,0.53
Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,0.21,0.2,0,0.08,0.49
Epic Mickey 2: The Power of Two,WiiU,2012,Action,Disney Interactive Studios,0.14,0.07,0.01,0.02,0.24
Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.48
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.21,0.12,0,0.04,0.37
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03
Euro Truck Simulator 2,PC,2012,Action,SCS Software,0,0.12,0,0.02,0.14
Even in a Game Listen to Me Girls. I Am Your Father!,PSP,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03
F1 2012,PS3,2012,Racing,Codemasters,0.12,0.64,0.05,0.25,1.06
F1 2012,X360,2012,Racing,Codemasters,0.1,0.35,0,0.06,0.51
F1 2012,PC,2012,Racing,Codemasters,0.01,0.11,0,0.03,0.15
F1 Race Stars,PS3,2012,Racing,Codemasters,0.06,0.21,0,0.08,0.35
F1 Race Stars,X360,2012,Racing,Codemasters,0.07,0.18,0,0.03,0.28
F1 Race Stars,PC,2012,Racing,Codemasters,0,0.02,0,0,0.02
Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.09,0,0.02,0.29
Fairy Tail: Zelef Kakusei,PSP,2012,Action,N/A,0,0,0.07,0,0.07
Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.12,0,0.05,0.29
Family Guy: Back to the Multiverse,X360,2012,Action,Activision,0.14,0.09,0,0.02,0.25
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.03
Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0,0.14,0.97
Farming Simulator 2012,3DS,2012,Action,Excalibur Publishing,0,0.12,0,0.02,0.14
Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0,0.8,0,0.18,0.98
Fatal Frame 2: Wii Edition,Wii,2012,Action,Nintendo,0,0,0.1,0,0.1
Fate/Stay Night [Rialta Nua],PSV,2012,Adventure,Kadokawa Shoten,0,0,0.06,0,0.06
FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.25
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.17
FIFA Soccer 13,Wii,2012,Action,Electronic Arts,0.19,0.46,0,0.08,0.73
FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.18,0.26,0,0.04,0.48
FIFA Soccer 13,PSV,2012,Action,Electronic Arts,0,0.3,0.05,0.12,0.47
FIFA Soccer 13,PC,2012,Action,Electronic Arts,0.02,0.31,0,0.07,0.4
FIFA Soccer 13,PSP,2012,Action,Electronic Arts,0.05,0.19,0.02,0.1,0.36
FIFA Soccer 13,3DS,2012,Action,Electronic Arts,0.06,0.2,0,0.03,0.29
FIFA Street,PS3,2012,Sports,Electronic Arts,0.11,0.92,0,0.25,1.28
FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.65,0,0.1,0.92
Final Fantasy III,PSP,2012,Role-Playing,Square Enix,0,0,0.11,0,0.11
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2
Fist of the North Star: Ken's Rage 2,PS3,2012,Fighting,Tecmo Koei,0,0,0.3,0,0.3
Fist of the North Star: Ken's Rage 2,X360,2012,Fighting,Tecmo Koei,0.03,0.01,0.02,0,0.06
Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.22,1.17
Forza Horizon,X360,2012,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02
Funky Barn,3DS,2012,Simulation,Ubisoft,0.07,0.03,0,0.01,0.11
G1 Grand Prix,3DS,2012,Action,Genki,0,0,0.05,0,0.05
Gaku ? Ou: The Royal Seven Stars,PSP,2012,Role-Playing,Alchemist,0,0,0.02,0,0.02
Gakuen Hetalia,DS,2012,Adventure,Idea Factory,0,0,0.01,0,0.01
Gal Gun,PS3,2012,Shooter,Alchemist,0,0,0.02,0,0.02
Game of Thrones,X360,2012,Role-Playing,Focus Home Interactive,0.15,0.08,0,0.02,0.25
Game of Thrones,PS3,2012,Role-Playing,Focus Home Interactive,0.1,0.11,0,0.04,0.25
Game of Thrones,PC,2012,Role-Playing,Focus Home Interactive,0,0.07,0,0.01,0.08
Game Party: Champions,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,2012,Misc,Fields,0,0,0.03,0,0.03
Genroh,PSP,2012,Action,Idea Factory,0,0,0.02,0,0.02
Girls RPG: Cinderellife,3DS,2012,Role-Playing,Level 5,0,0,0.06,0,0.06
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.72,0,0,0.06,0.78
GoGo's Crazy Bones,DS,2012,Action,GameMill Entertainment,0,0.04,0,0,0.04
Gon: BakuBakuBakuBaku Adventure,3DS,2012,Action,Namco Bandai Games,0,0,0.02,0,0.02
Grand Slam Tennis 2,PS3,2012,Sports,Electronic Arts,0.09,0.11,0,0.04,0.24
Grand Slam Tennis 2,X360,2012,Sports,Electronic Arts,0.1,0.07,0,0.02,0.19
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.65
Great Battle Full Blast,PSP,2012,Action,Namco Bandai Games,0,0,0.04,0,0.04
Guild 01,3DS,2012,Action,Level 5,0,0,0.05,0,0.05
Guild Wars 2,PC,2012,Action,NCSoft,0.95,1.06,0,0.29,2.3
Hakuoki: Reimeiroku DS,DS,2012,Action,Idea Factory,0,0,0.01,0,0.01
Hakuouki: Bakumatsu Musou Roku,PSP,2012,Action,Idea Factory,0,0,0.05,0,0.05
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,2012,Action,Idea Factory,0,0,0.06,0,0.06
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
Hanaoni: Yume no Tsudzuki,PSP,2012,Action,Idea Factory,0,0,0.04,0,0.04
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,2012,Role-Playing,Ackkstudios,0,0,0.03,0,0.03
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.92
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega,0,0,0.18,0,0.18
Hatsune Miku: Project Diva f,PSV,2012,Misc,Sega,0,0,0.23,0,0.23
Heroes of Hellas 2: Olympia,DS,2012,Puzzle,N/A,0,0.03,0,0,0.03
Heroes of Ruin,3DS,2012,Role-Playing,Nintendo,0.13,0.07,0,0.02,0.22
Heroes Phantasia,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0.07,0,0.07
Hitman: Absolution,PS3,2012,Action,Square Enix,0.59,1.07,0.07,0.45,2.18
Hitman: Absolution,X360,2012,Action,Square Enix,0.68,0.9,0.01,0.17,1.76
Hitman: Absolution,PC,2012,Action,Square Enix,0.03,0.17,0,0.04,0.24
Horses 3D,3DS,2012,Misc,Ubisoft,0.04,0,0,0,0.04
Hot Shots Golf: World Invitational,PS3,2012,Sports,Sony Computer Entertainment,0,0,0.28,0,0.28
Hunter x Hunter: Wonder Adventure,PSP,2012,Action,Namco Bandai Games,0,0,0.04,0,0.04
Hyakki Yagyou Kaidan Romance,PSP,2012,Action,Quinrose,0,0,0.01,0,0.01
Hyperdimension Neptunia Victory,PS3,2012,Role-Playing,Compile Heart,0.05,0.03,0.06,0.02,0.16
I Am In The Movie,Wii,2012,Simulation,Namco Bandai Games,0,0,0.08,0,0.08
I Am In The Movie,PSP,2012,Simulation,Namco Bandai Games,0,0,0.06,0,0.06
I Don't Have Many Friends Portable,PSP,2012,Adventure,Namco Bandai Games,0,0,0.07,0,0.07
Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0,0.47
Inazuma Eleven GO Strikers 2013,Wii,2012,Role-Playing,Level 5,0,0,0.1,0,0.1
Inversion,PS3,2012,Shooter,Namco Bandai Games,0.03,0.03,0,0.01,0.07
Inversion,X360,2012,Shooter,Namco Bandai Games,0.03,0.02,0,0.01,0.06
James Bond 007: Legends,PS3,2012,Shooter,Activision,0.11,0.17,0,0.07,0.35
James Bond 007: Legends,X360,2012,Shooter,Activision,0.13,0.14,0,0.03,0.3
James Bond 007: Legends,WiiU,2012,Shooter,Activision,0.07,0.05,0,0.01,0.13
Jewel Link: Galactic Quest,DS,2012,Action,Avanquest Software,0,0.02,0,0,0.02
Jewel Master: Cradle of Persia,DS,2012,Puzzle,Rising Star Games,0,0.05,0,0.01,0.06
Jewel Match 2,DS,2012,Puzzle,Easy Interactive,0,0.02,0,0,0.02
Jewel Quest 5: The Sleepless Star,DS,2012,Action,Licensed 4U,0,0.02,0,0,0.02
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Action,Konami Digital Entertainment,0,0,0.21,0,0.21
Jikkyou Powerful Pro Yakyuu 2012,PSP,2012,Action,Konami Digital Entertainment,0,0,0.15,0,0.15
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012,Action,Konami Digital Entertainment,0,0,0.09,0,0.09
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,2012,Action,Sega,0,0,0.06,0,0.06
JoJo's Bizarre Adventure: All Star Battle,3DS,2012,Fighting,Take-Two Interactive,0.06,0,0,0,0.06
Journey,PS3,2012,Adventure,Sony Computer Entertainment Europe,0.04,0.15,0,0.06,0.25
Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.2,0,0.08,1.18
Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.12,0,0.06,0.44
Just Dance 4,WiiU,2012,Misc,Ubisoft,0.22,0.14,0,0.03,0.39
Just Dance Wii 2,Wii,2012,Misc,Nintendo,0,0,0.29,0,0.29
Just Dance: Disney Party,X360,2012,Misc,Ubisoft,0.13,0.02,0,0.01,0.16
Just Dance: Disney Party,Wii,2012,Misc,Ubisoft,0.01,0.1,0,0.02,0.13
Just Dance: Greatest Hits,Wii,2012,Misc,Ubisoft,0.15,0.04,0,0.02,0.21
Jyuzaengi: Engetsu Sangokuden,PSP,2012,Action,Idea Factory,0,0,0.03,0,0.03
K-On! After School Live!! HD Ver.,PS3,2012,Action,Sega,0,0,0.03,0,0.03
Kannou Mukashi Banashi Portable,PSP,2012,Adventure,Idea Factory,0,0,0.02,0,0.02
Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012,Action,Spike,0,0,0.1,0,0.1
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.26
Kidou Senshi Gundam Seed Battle Destiny,PSV,2012,Action,Namco Bandai Games,0,0,0.12,0,0.12
Kidou Senshi Gundam UC,PS3,2012,Action,Namco Bandai Games,0,0,0.1,0,0.1
Kimikare: New Semester,PSP,2012,Action,Idea Factory,0,0,0.02,0,0.02
Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.16,0,0.05,0.59
Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14,1.79
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.09,1.57
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.88
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87
Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,0.14,0.13,0,0.04,0.31
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.34,0,0.33,0.02,0.69
Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0,0,0.28,0,0.28
Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,PSP,2012,Action,Broccoli,0,0,0.01,0,0.01
Koi to Senkyo to Chocolate Portable,PSP,2012,Adventure,Kadokawa Shoten,0,0,0.05,0,0.05
Kokoro Connect: Yochi Random,PSP,2012,Action,Namco Bandai Games,0,0,0.02,0,0.02
Kurohyou 2: Ryu ga Gotoku Ashura Hen,PSP,2012,Action,Sega,0,0,0.2,0,0.2
Kuroko's Basketball: Miracle Game,PSP,2012,Sports,Namco Bandai Games,0,0,0.11,0,0.11
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,2012,Adventure,ChunSoft,0,0,0.03,0,0.03
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,2012,Adventure,ChunSoft,0,0,0.03,0,0.03
L.G.S: Shinsetsu Houshinengi,PSP,2012,Action,Idea Factory,0,0,0.02,0,0.02
Legasista,PS3,2012,Role-Playing,Nippon Ichi Software,0,0,0.04,0,0.04
LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0,0.15,1.69
